price,mileage,power,make_model,date,fuel,gear,offer_type,version,link
11300,41973,152,Ducati Multistrada 1200,16-Jul,Gasoline,Manual,Used,"Enduro 1.Hand , Scheckheftgepfl",/offers/ducati-multistrada-1200-enduro-1-hand-scheckheftgepfl-gasoline-white-d5838155-4b34-4c2a-bb71-e6b392576d25
19990,6000,203,Kawasaki,19-Jan,,,Used,ZX 10 R SE,/offers/kawasaki-others-zx-10-r-se-black-241ed7a5-abfa-47dc-beb7-387ede703440
100,9288,4,Piaggio NRG 50,20-Jun,Gasoline,Automatic,Used,Typ C21,/offers/piaggio-nrg-50-typ-c21-gasoline-black-3805b163-e275-4e33-af50-cda614df5ad1
13490,7883,165,BMW S 1000 XR,18-Jul,Gasoline,Manual,Used,ABS Koffer Topcase 1.Hand,/offers/bmw-s-1000-xr-abs-koffer-topcase-1-hand-gasoline-red-3f97c442-f1ad-4774-bb8e-02ae7465c1c6
10000,36000,148,Ducati Multistrada 1200,12-Mar,Gasoline,,Used,Ducati Multistrada 1200 S Sport full carbon,/offers/ducati-multistrada-1200-ducati-multistrada-1200-s-sport-full-carbon-gasoline-red-8735b410-0bd9-4abc-93c4-964913a694e3
12400,99000,101,Harley-Davidson Road King,9-May,Gasoline,Manual,Used,"Classic ABS FLHRC,Top-Zustand,Voll-Ausstattung!",/offers/harley-davidson-road-king-classic-abs-flhrc-top-zustand-voll-ausstattung-gasoline-black-c4210958-3bfa-4989-94aa-49d5a81d5500
9500,35000,117,Harley-Davidson V-Rod,3-Jul,Gasoline,,Used,Anniversary,/offers/harley-davidson-v-rod-anniversary-gasoline-silver-528650b5-a46a-0d32-e053-0100007fedec
6990,4935,110,MV Agusta Brutale 675,12-Jul,Gasoline,Manual,Used,,/offers/mv-agusta-brutale-675-gasoline-white-1290a8b9-4f56-f606-e053-0100007fa1f8
9000,25000,71,Harley-Davidson Late Shovel,Jul-80,Gasoline,,Used,,/offers/harley-davidson-late-shovel-gasoline-black-b227ffc1-ff3b-2c1b-e053-0100007f1ccc
12500,20000,102,Honda CRF 100,18-Jul,Gasoline,,Used,,/offers/honda-crf-100-gasoline-blue-82d740c4-d927-6d07-e053-0100007fae4d
10750,6000,145,Kawasaki Z 1000,19-May,Gasoline,,Used,SX DE 2019 AVEC 6000 KMS ETAT NEUF GARANTIE DE 12,/offers/kawasaki-z-1000-sx-de-2019-avec-6000-kms-etat-neuf-garantie-de-12-gasoline-green-41e5495e-db8a-4daf-acc6-c7961d708e6d
10790,16829,79,Triumph Bonneville T120,16-Jan,,,Used,,/offers/triumph-bonneville-t120-black-8a5ed8a3-36cc-4a37-9817-1549e2018b9f
11500,30000,170,KTM 1190 RC8,12-Jun,Gasoline,Manual,Used,,/offers/ktm-1190-rc8-gasoline-black-9ed6b47a-88b6-4b81-ac8d-72a36c8755c9
7200,1,1,Yamaha RD 350,Jan-83,Two Stroke Gasoline,,Antique / Classic,4L0 - FMI,/offers/yamaha-rd-350-4l0-fmi-two-stroke-gasoline-blue-03110eba-d9be-5e38-e053-0100007f7983
10890,2800,,BMW C 650 GT,20-Jun,Gasoline,,Used,,/offers/bmw-c-650-gt-gasoline-black-2406a87f-f8e1-4c6b-82ac-2a8e02d8775c
11990,26700,,Kawasaki Versys 1000,17-Jan,,Manual,Used,GRAND TOURER,/offers/kawasaki-versys-1000-grand-tourer-black-29671f56-c291-4904-a803-65ac1b4912d9
22490,250,110,Zero,21-May,Electric,Automatic,Demonstration,SR F Premium 6KW Ladung Modell 2021,/offers/zero-others-sr-f-premium-6kw-ladung-modell-2021-electric-grey-21dbf577-55c7-4e21-bae8-8745b572a750
30000,500,109,Bimota 500 V,Jan-00,Gasoline,,Used,,/offers/bimota-500-v-gasoline-red-c55cbec4-bb6b-031f-e053-0100007ff3a6
1000,777,11,KSR Moto Sirion 125,18-Jun,Gasoline,,Used,,/offers/ksr-moto-sirion-125-gasoline-red-81781c67-aa63-4810-99bb-5e14e89d1b9e
7150,4350,69,Online,20-May,Gasoline,,Used,,/offers/online-others-gasoline-blue-6fa103c2-1a32-8e46-e053-0100007f7329
11500,5917,,Triumph Thruxton,16-Jun,Gasoline,,Used,,/offers/triumph-thruxton-gasoline-black-aa1bc3f2-2fc2-460d-b48c-fc9450ba9e4b
11990,8598,,Yamaha Niken,18-Nov,Gasoline,,Used,,/offers/yamaha-niken-gasoline-grey-048fa9b6-d7e3-4ffb-ba44-fa31c84dddce
23950,14200,,Harley-Davidson Road King,17-Sep,,,Used,FLHRXS SPECIAL 107,/offers/harley-davidson-road-king-flhrxs-special-107-973da54e-acf1-4a51-a59b-25ff8953b97b
12850,15027,67,Harley-Davidson Road King,Jul-00,Gasoline,Manual,Used,FLHRCI Classic Vele Extra s VANCE HINES/TASSEN/SCH,/offers/harley-davidson-road-king-flhrci-classic-vele-extra-s-vance-hines-tassen-sch-gasoline-black-604160ab-6bbe-4c29-b357-b3d934673276
17500,19000,160,Ducati XDiavel,16-Sep,Gasoline,,Used,S 1260,/offers/ducati-xdiavel-s-1260-gasoline-black-585adcc3-96e2-7865-e053-0100007f2260
6200,22415,90,BMW F 800 GT,13-Jun,Gasoline,Manual,Used,*,/offers/bmw-f-800-gt--gasoline-white-b5feb63d-2816-4b47-94c7-413ac3dd5bcb
21354,2500,165,BMW S 1000 XR,21-Mar,Gasoline,Manual,Demonstration,M-Carbon|Touren|Dynamik Paket,/offers/bmw-s-1000-xr-m-carbon-touren-dynamik-paket-gasoline-grey-23049b06-4847-4497-81f4-86e370026dc4
10950,29900,,Ducati Multistrada 1200,13-Feb,Gasoline,,Used,S TOURING NIEUWSTA,/offers/ducati-multistrada-1200-s-touring-nieuwsta-gasoline-silver-71b9b1bd-8e94-4101-a1e3-fd79dcbe1615
8300,30000,95,Triumph Tiger 800,17-Aug,Gasoline,,Used,,/offers/triumph-tiger-800-gasoline-blue-f3b761c5-6a15-9f1b-e053-0100007ff7ba
8200,1,15,TM SMR 300 2T,18-Dec,Two Stroke Gasoline,Manual,Used,SUPERMOTARD,/offers/tm-smr-300-2t-supermotard-two-stroke-gasoline-white-d4711ce5-694c-48c0-ad03-7c147ca7268a
8500,16000,751,Honda X-ADV,18-Jul,Gasoline,,Used,sport,/offers/honda-x-adv-sport-gasoline-white-040358fa-5326-4506-863c-dea635c69dcb
1500,5000,5,Mash City,19-Jul,Gasoline,,Used,vend ou échange contre moto 50cc,/offers/mash-city-vend-ou-echange-contre-moto-50cc-gasoline-white-e38d8322-335d-4580-b311-3c696bf28855
10990,6035,,Honda X-ADV,20-Jun,Gasoline,,Used,750,/offers/honda-x-adv-750-gasoline-silver-0e5dab93-f359-414e-9ef7-51b43280e182
26980,12366,75,Harley-Davidson,13-Apr,Gasoline,Manual,Used,Breakout*260er*LED*Gestretchter Tank*All Black*,/offers/harley-davidson-others-breakout-260er-led-gestretchter-tank-all-black-gasoline-black-9da97253-6abf-4076-bb0b-263760514acb
8300,35722,60,BMW C 650 GT,18-Sep,Gasoline,Automatic,Used,PACK HIGHLINE,/offers/bmw-c-650-gt-pack-highline-gasoline-black-58ca26d8-8bf5-4789-af57-8ea9cd763e12
15200,7500,125,BMW R 1200 RT,18-Oct,Gasoline,,Used,,/offers/bmw-r-1200-rt-gasoline-black-1dc917c3-bc40-3919-e053-0100007f712c
2200,15015,,Piaggio XEvo 125,12-Apr,Gasoline,,Used,,/offers/piaggio-xevo-125-gasoline-black-f85a3235-a0a6-4d91-8730-91574ef69411
12490,3026,48,BMW F 900 XR,21-Feb,Gasoline,Manual,Used,,/offers/bmw-f-900-xr-gasoline-white-c6e94d16-3ca6-4173-8d2e-bd76b1d391e0
7490,6589,45,Piaggio MP3 500,21-Jun,Gasoline,,Used,LT HPE Sport,/offers/piaggio-mp3-500-lt-hpe-sport-gasoline-green-2f8c4ba5-43aa-4c80-8234-ac8592975117
2500,1315,44,Vespa Primavera 50,18-May,Gasoline,,Used,,/offers/vespa-primavera-50-gasoline-white-93ac3ec6-7ddc-6747-e053-0100007f622b
8950,36700,,Yamaha YZF-R1,11-Mar,Gasoline,,Used,BIG-BANG AKRA NIEUWSTAAT!!,/offers/yamaha-yzf-r1-big-bang-akra-nieuwstaat-gasoline-white-c5e153ef-b7f7-4eac-a10c-482e3495f5e9
10000,1600,65,Triumph Bonneville T100,21-May,Gasoline,,Used,,/offers/triumph-bonneville-t100-gasoline-blue-e7408334-d416-4930-a52b-7d3e76956c16
9999,0,,Honda NC 750,21-Jan,,,New,X DCT,/offers/honda-nc-750-x-dct-black-eecf79ac-4e27-479a-a04a-e88fd36f3823
899,120,1,Access,20-Oct,Electric,Automatic,Used,Access 37′ Offroad E-Scooter/ reduzierter Vorf.,/offers/access-other-access-37-offroad-e-scooter-reduzierter-vorf-electric-orange-e69329bb-0ca5-4915-b130-06f8b8dec29c
2290,50900,22,Piaggio MP3 300,10-Nov,Gasoline,Automatic,Used,,/offers/piaggio-mp3-300-gasoline-red-d85c7004-6ce1-4b6f-aec7-35f8434d75f5
1000,78000,12,Honda SH 150,9-May,Gasoline,Automatic,Used,,/offers/honda-sh-150-gasoline-black-cb7b75c6-f300-3327-e053-0100007fb744
16199,0,,Kawasaki Ninja 1000SX,21-Jan,,,New,,/offers/kawasaki-ninja-1000sx-green-4d6dc01c-d210-440d-be30-d0471906c068
6745,1057,54,Honda NC 750,20-Mar,Gasoline,Automatic,Used,S DCT,/offers/honda-nc-750-s-dct-gasoline-red-a8e2e626-1d0c-4e76-8ae1-6ee6b358ed90
12500,31213,76,Harley-Davidson Dyna Super Glide,10-Jan,Gasoline,Manual,Used,,/offers/harley-davidson-dyna-super-glide-gasoline-black-8043d7bf-3153-663b-e053-0100007f6ce5
8899,48040,129,Honda Crosstourer,13-Jan,Gasoline,Manual,Used,,/offers/honda-crosstourer-gasoline-red-2c985bc4-15a8-6b75-e053-0100007ffc5a
6990,7000,82,Ducati Monster 796,11-Jan,Gasoline,Manual,Used,,/offers/ducati-monster-796-gasoline-black-00945b62-d520-4f2a-a42a-756156d601f4
7490,5512,33,Yamaha X-Max 400,20-Jan,,,Used,TECH MAX,/offers/yamaha-x-max-400-tech-max-grey-44caee9b-0316-4bde-98e5-1731a769d22e
11250,38800,125,BMW R 1200 GS,13-Apr,Gasoline,,Used,,/offers/bmw-r-1200-gs-gasoline-red-9d4deef4-eb6e-43e1-a4df-10b6e9b234f8
10500,24000,125,Suzuki Intruder M,7-May,Gasoline,,Used,,/offers/suzuki-intruder-m-gasoline-black-2e51540b-696a-4558-a473-26f7fafe6dc7
9200,12000,131,Kawasaki Ninja ZX-6R,17-Mar,Gasoline,,Used,,/offers/kawasaki-ninja-zx-6r-gasoline-green-5c83d0c4-e044-4477-e053-0100007f54b9
15499,0,,Suzuki V-Strom 1050,21-Jan,,,New,XT,/offers/suzuki-v-strom-1050-xt-yellow-451445fe-ba37-46c9-bbcb-e919f2c0de96
299,10800,5,SYM GTS 300,5-Mar,Gasoline,,Used,,/offers/sym-gts-300-gasoline-blue-0a63b38d-37c0-405a-b5a6-7206414d35e1
13489,18381,140,Ducati 899 Panigale,13-Nov,Gasoline,Manual,Used,DUCATI Limbächer,/offers/ducati-899-panigale-ducati-limbaecher-gasoline-red-ccd85ea6-9886-4ebd-b3ba-1c38851e74d2
8000,12000,95,Ducati Monster 1100,11-Jun,Gasoline,,Used,,/offers/ducati-monster-1100-gasoline-red-4865c337-eaf9-465e-ba29-9b2ef0eeb5dd
16390,2500,136,BMW R 1250 RS,21-Mar,Gasoline,Manual,Demonstration,LED SCHEINWERFER,/offers/bmw-r-1250-rs-led-scheinwerfer-gasoline-black-9a190585-9382-4a2e-a72f-dde555fd41bb
10795,47519,173,KTM 1290 Super Duke GT,17-Feb,Gasoline,,Used,Tour ABS ** Nieuwstaat **,/offers/ktm-1290-super-duke-gt-tour-abs-nieuwstaat-gasoline-1e3378ed-dcb0-49b7-a6d5-486d0acf3a7c
19999,16222,,Indian Chieftain,18-Apr,Gasoline,,Used,DARKHORSE,/offers/indian-chieftain-darkhorse-gasoline-black-f465074d-8b4d-4eb9-aead-a915bbc2285e
8000,90000,150,KTM 1190 Adventure,14-Jul,Gasoline,,Used,,/offers/ktm-1190-adventure-gasoline-white-95084598-0407-4e58-815c-b2edad4242ac
7100,3320,68,Kawasaki Ninja 650,20-Jun,Gasoline,,Used,,/offers/kawasaki-ninja-650-gasoline-black-469299c2-8f4b-0178-e053-0100007f676d
6489,3835,54,Honda NC 750,15-Jun,Gasoline,Manual,Used,"X - 1. Hand, HONDA Stuttgart",/offers/honda-nc-750-x-1-hand-honda-stuttgart-gasoline-6097a410-0fc0-4794-a050-3e77f3c8de79
7500,21000,60,BMW C 650 GT,16-Jan,Gasoline,,Used,0,/offers/bmw-c-650-gt-0-gasoline-brown-8482ffe1-6b32-4451-bcc8-85cbec6a2b3e
6700,10200,125,Suzuki GSX-R 600,11-Jul,Gasoline,,Used,,/offers/suzuki-gsx-r-600-gasoline-white-56f23fbd-8eca-a309-e053-0100007fce2d
9999,6900,79,Arctic Cat 1000,17-Aug,Gasoline,Automatic,Used,,/offers/arctic-cat-1000-gasoline-white-6a88b4bf-5726-7514-e053-0100007f7865
7698,0,,Honda,21-Jan,,Automatic,New,FORZA 350,/offers/honda-others-forza-350-grey-a67cb2d9-4553-42d4-a8ab-161908effa28
10500,15984,67,Harley-Davidson Sportster 1200,11-Apr,Gasoline,Manual,Used,NIGHSTER,/offers/harley-davidson-sportster-1200-nighster-gasoline-black-11c5cbbb-37ef-42f3-99b2-05c68b75cacc
16800,23758,79,Harley-Davidson Fat Boy,14-Nov,Gasoline,Manual,Used,,/offers/harley-davidson-fat-boy-gasoline-grey-4dc471c6-98d2-303e-e053-0100007fca41
1250,44000,20,Yamaha X-City 250,11-Sep,Gasoline,,Used,,/offers/yamaha-x-city-250-gasoline-white-404755c0-3f81-d92d-e053-0100007fb4db
11500,12000,67,Harley-Davidson,14-Nov,Gasoline,,Used,seventy two,/offers/harley-davidson-others-seventy-two-gasoline-grey-a9f3c0ba-56bc-7727-e053-0100007f50c8
13875,14545,125,BMW R 1200 RT,17-Apr,Gasoline,,Used,,/offers/bmw-r-1200-rt-gasoline-bronze-4438b8c1-68cd-3f66-e053-0100007f7dd9
15900,54000,45,BMW R 80,Jun-85,Gasoline,,Used,KIT Paris Dakar,/offers/bmw-r-80-kit-paris-dakar-gasoline-white-0f581bcd-cff4-49ec-836e-3aa12b7be723
12000,14931,95,Victory High-Ball,11-Nov,Gasoline,Manual,Used,,/offers/victory-high-ball-gasoline-black-1570e1c0-2a05-7e13-e053-0100007f6fbd
1200,19000,4,Aprilia SR 50,11-Jul,Two Stroke Gasoline,Automatic,Used,Racing,/offers/aprilia-sr-50-racing-two-stroke-gasoline-white-d9c5b34e-935c-4a4f-8ac2-745191d42806
11195,1,64,Moto Guzzi V 7,21-Jan,Gasoline,Manual,New,IV 850 STONE ROUGH BLACK E5,/offers/moto-guzzi-v-7-iv-850-stone-rough-black-e5-gasoline-black-7f874aa5-f059-439d-b403-5191443eba5f
1300,14000,1,Kymco People S 200i,11-Mar,Gasoline,,Used,,/offers/kymco-people-s-200i-gasoline-black-8ed8a438-0830-49e8-abc2-d2550ec3d500
12500,26350,193,BMW S 1000 RR,14-Mar,Gasoline,Manual,Used,,/offers/bmw-s-1000-rr-gasoline-black-797d53c3-5d6e-983d-e053-0100007f83b8
9000,48037,95,Honda CRF 1000,17-Feb,Gasoline,,Used,,/offers/honda-crf-1000-gasoline-white-160618c7-487c-f519-e053-0100007f4f91
11990,5200,,Honda CB 1000,18-Jul,Gasoline,,Used,R,/offers/honda-cb-1000-r-gasoline-black-67576f66-27b9-4546-9b45-71ce01d8e4ab
2490,42145,77,Honda CBF 600,5-Mar,Others,,Used,SA,/offers/honda-cbf-600-sa-others-grey-fac0b4e3-79ea-4079-9690-9db7a90bda55
17400,850,152,Ducati Diavel,20-May,Gasoline,Manual,Used,X DIAVEL 1260,/offers/ducati-diavel-x-diavel-1260-gasoline-grey-5fa5de23-7c91-4cf8-b51e-2b71ad2e8801
1890,45061,,Yamaha MT-03,9-May,Gasoline,,Used,300,/offers/yamaha-mt-03-300-gasoline-black-579365a0-2ef1-4822-9d66-3e49dc1fbd3c
10995,7975,,Yamaha XVS 1300,16-Jan,,,Used,Custom,/offers/yamaha-xvs-1300-custom-black-fd050ede-1dc6-450d-ba7a-c787101c35c0
12000,1900,101,BMW F 850 GS,20-May,Gasoline,,Used,,/offers/bmw-f-850-gs-gasoline-white-d948b2bf-ffa1-063d-e053-0100007f26cb
13000,15112,162,Ducati Diavel,15-May,Gasoline,Manual,Used,ABS con kit Touring,/offers/ducati-diavel-abs-con-kit-touring-gasoline-black-7bf84835-d3b1-464e-ba25-3c3400e212ce
1200,260,125,Lambretta,14-May,Gasoline,,Used,lambretta pato 125n,/offers/lambretta-others-lambretta-pato-125n-gasoline-blue-08d2fa64-96b0-4d59-ade0-73fcc9294940
6950,16423,48,Honda CB 500,19-May,Gasoline,Manual,Used,X,/offers/honda-cb-500-x-gasoline-grey-83290e0a-c85b-48e3-9cca-b2414fd7d2e7
7390,23300,46,Moto Guzzi V 7,18-Aug,Gasoline,Manual,Used,V7 III Limited + Navi,/offers/moto-guzzi-v-7-v7-iii-limited-navi-gasoline-black-19df3683-3e4e-4c68-ab88-61e8f4849197
8000,27565,114,Yamaha Tracer 900,16-Aug,Gasoline,,Used,,/offers/yamaha-tracer-900-gasoline-blue-50b54bc3-b167-2d42-e053-0100007fe781
17900,1,19,Moto Guzzi,Dec-57,Gasoline,,Used,,/offers/moto-guzzi-others-gasoline-red-dca6aebd-0a6f-3b7c-e053-0100007f2474
9500,2538,125,Kawasaki Z 900,20-Jul,Gasoline,,Used,MY20 BJ 2020,/offers/kawasaki-z-900-my20-bj-2020-gasoline-grey-a0c08c85-a091-4aef-9067-bcf9f057b3fe
